steroid,administration,half-life,anabolic/androgenic_ratio,common_dosage_(mg/day_or_mg/week),potential_side_effects,detection_time,legality_(usa),typical_use,water_retention,aromatization_potential,hepatotoxicity,water_retention_severity,estrogen_conversion_risk,anabolic_potency,androgenic_potency,appetite_stimulation,aggression_elevation,fat_loss_promotion,joint_support,libido_effects
Testosterone Enanthate,Injectable,4.5 days,100:100,250-500mg/week,"Acne, hair loss, gynecomastia",3 months,Legal (prescription),Bulking,High,High,Yes,Low,No,Very High,Very High,No,High,No,No,Decreased
Testosterone Cypionate,Injectable,12 days,100:100,250-500mg/week,"Water retention, acne",3 months,Legal (prescription),Bulking,High,High,No,None,No,Moderate,Low,No,Low,Yes,No,Increased
Testosterone Propionate,Injectable,2-4 days,100:100,50-100mg/every other day,"Acne, water retention",2 weeks,Legal (prescription),Bulking,Moderate,Moderate,Yes,Low,No,High,Low,No,Low,Yes,No,Neutral
Testosterone Suspension,Injectable,1 day,100:100,50-100mg/day,"Mood swings, acne",1 day,Legal (prescription),Bulking,None,None,Yes,None,No,Very High,Low,Yes,High,Yes,No,Increased
Sustanon 250 (Testosterone Blend),Injectable,15-18 days,100:100,500mg/week,"Water retention, acne",3-4 months,Legal (prescription),Bulking,High,High,No,None,No,High,High,Yes,High,Yes,No,Increased
Deca-Durabolin (Nandrolone Decanoate),Injectable,6-12 days,1900-01-05 05:37:00,200-600mg/week,"Gynecomastia, acne",18 months,Illegal,Bulking,Moderate,Moderate,No,Moderate,Yes,Moderate,Moderate,Yes,Moderate,Moderate,Yes,Increased
Trenbolone Acetate,Injectable,2-3 days,500:500,200-400mg/week,"Night sweats, aggression",5 months,Illegal,Bulking,None,None,No,None,No,High,Very High,Yes,High,Moderate,No,Increased
Trenbolone Enanthate,Injectable,7-10 days,500:500,200-400mg/week,"Aggression, night sweats",5 months,Illegal,Bulking,None,None,No,None,No,High,Very High,Yes,High,Moderate,No,Increased
Equipoise (Boldenone Undecylenate),Injectable,14 days,1900-01-04 04:50:00,400-600mg/week,"Acne, increased appetite",5 months,Illegal,Bulking,Moderate,Moderate,No,Moderate,Yes,Moderate,Moderate,Yes,Moderate,Moderate,Yes,Increased
Masteron (Drostanolone Propionate),Injectable,2-3 days,1900-01-02 14:25:00,200-400mg/week,"Hair loss, aggression",3 months,Illegal,Cutting,None,None,No,None,No,Moderate,Moderate,No,Moderate,Yes,No,Neutral
Primobolan (Methenolone Enanthate),Injectable,10-14 days,1900-01-03 16:44:00,400-800mg/week,"Hair loss, acne",5 months,Illegal,Cutting,None,None,No,None,No,Moderate,Moderate,No,Moderate,Yes,No,Neutral
Durabolin (Nandrolone Phenylpropionate),Injectable,2-3 days,1900-01-05 05:37:00,100-200mg/week,"Water retention, acne",18 months,Illegal,Bulking,Moderate,Moderate,No,Moderate,Yes,Moderate,Moderate,Yes,Moderate,Moderate,Yes,Increased
Parabolan (Trenbolone Hexahydrobenzylcarbonate),Injectable,10-14 days,500:500,200-400mg/week,"Night sweats, aggression",5 months,Illegal,Bulking,None,None,No,None,No,High,Very High,Yes,High,Moderate,No,Increased
Testosterone Undecanoate,Injectable,20-24 days,100:100,1000-2000mg/4 weeks,"Gynecomastia, water retention",6 months,Legal (prescription),Bulking,High,High,No,High,Yes,Moderate,High,Yes,High,No,Yes,Increased
Winstrol Depot (Stanozolol Injection),Injectable,9 hours,1900-01-13 08:30:00,50-100mg/day,"Joint pain, liver toxicity",3 weeks,Illegal,Cutting,Low,None,Yes,Low,No,High,Low,No,Low,Yes,No,Neutral
NPP (Nandrolone Phenylpropionate),Injectable,2-3 days,1900-01-05 05:37:00,200-400mg/week,"Water retention, acne",18 months,Illegal,Bulking,Moderate,Moderate,No,Moderate,Yes,Moderate,Moderate,Yes,Moderate,Moderate,Yes,Increased
DHB (Dihydroboldenone),Injectable,8-10 days,200:100,200-400mg/week,"Aggression, hair loss",6 months,Illegal,Bulking,Moderate,Moderate,No,Moderate,Yes,High,Moderate,Yes,Moderate,Moderate,No,Increased
Testosterone Phenylpropionate,Injectable,2-3 days,100:100,50-100mg/every other day,"Acne, water retention",18 months,Illegal,Bulking,High,High,No,High,Yes,Moderate,High,Yes,High,Moderate,Yes,Increased
Trestolone (Ment),Injectable,50 hours,2300:650,50-100mg/day,"Liver toxicity, aggression",3 months,Illegal,Bulking,High,Low,Yes,High,No,Very High,Very High,No,High,No,No,Increased
Omnadren (Testosterone Blend),Injectable,15-18 days,100:100,500mg/week,"Water retention, acne",3-4 months,Legal (prescription),Bulking,High,High,No,High,Yes,Moderate,High,Yes,High,Moderate,Yes,Increased
Boldenone (Equipoise),Injectable,14 days,1900-01-04 04:50:00,400-600mg/week,"Acne, increased appetite",5 months,Illegal,Bulking,Moderate,Low,No,Moderate,Yes,Moderate,Low,Yes,Moderate,Moderate,Yes,Increased
Masteron (Drostanolone Propionate),Injectable,2-3 days,1900-01-02 14:25:00,200-400mg/week,"Hair loss, aggression",3 months,Illegal,Cutting,None,Low,No,None,No,Moderate,Moderate,No,Low,Yes,No,Neutral
Primobolan (Methenolone Enanthate),Injectable,10 days,1900-01-03 16:44:00,400-800mg/week,"Hair loss, acne",5 months,Illegal,Cutting,None,None,No,None,No,Moderate,Moderate,No,Low,Yes,No,Neutral
Deca Durabolin (Nandrolone Decanoate),Injectable,6-12 days,1900-01-05 05:37:00,200-600mg/week,"Gynecomastia, acne",18 months,Illegal,Bulking,Moderate,None,Yes,Moderate,Yes,High,Moderate,Yes,Moderate,No,Yes,Increased
Trenbolone Acetate,Injectable,2-3 days,500:500,200-400mg/week,"Night sweats, aggression",5 months,Illegal,Bulking,None,None,No,None,No,Very High,Very High,Yes,High,Yes,No,Increased
Trenbolone Enanthate,Injectable,7-10 days,500:500,200-400mg/week,"Aggression, night sweats",5 months,Illegal,Bulking,None,None,No,None,No,Very High,Very High,Yes,High,Yes,No,Increased
Sustanon 250,Injectable,10-14 days,100:100,500mg/week,"Water retention, acne",3-4 months,Legal (prescription),Bulking,High,Low,Yes,High,Yes,Moderate,Moderate,Yes,Moderate,Moderate,No,Increased
Testosterone Enanthate,Injectable,4-5 days,100:100,250-500mg/week,"Acne, hair loss, gynecomastia",3 months,Legal (prescription),Bulking,High,Low,Yes,High,Yes,Moderate,Moderate,Yes,Moderate,Moderate,No,Increased
Testosterone Cypionate,Injectable,12 days,100:100,250-500mg/week,"Water retention, acne",3 months,Legal (prescription),Bulking,High,Low,Yes,High,Yes,Moderate,Moderate,Yes,Moderate,Moderate,No,Increased
Clenbuterol,Oral,36 hours,N/A,40-120mcg/day,"Increased heart rate, jitteriness",2 days,Legal,Cutting,None,None,No,None,No,Low,Low,No,Low,Yes,No,Neutral
Halotestin (Fluoxymesterone),Oral,9.5 hours,1900:850,10-40mg/day,"Aggression, liver toxicity",2 months,Illegal,Strength,Low,None,Yes,Low,No,Very High,Very High,No,High,No,No,Decreased
Proviron (Mesterolone),Oral,12 hours,100-150:30-40,25-50mg/day,"Low libido, cholesterol issues",5-6 weeks,Legal (prescription),Cutting,None,None,No,None,No,Moderate,Low,No,Low,Yes,No,Increased
Anavar (Oxandrolone),Oral,9 hours,322-630:24,20-80mg/day,"Hair loss, liver toxicity",3 weeks,Illegal,Cutting,Low,None,Yes,Low,No,High,Low,No,Low,Yes,No,Neutral
Superdrol,Oral,8-12 hours,1900-01-16 16:20:00,10-30mg/day,"Liver toxicity, aggression",8 weeks,Illegal,Cutting,None,Low,Yes,None,No,Very High,Low,Yes,High,Yes,No,Increased
Parabolan (Trenbolone Hexahydrobenzylcarbonate),Injectable,10-14 days,500:500,200-400mg/week,"Night sweats, aggression",5 months,Illegal,Bulking,None,Low,No,None,No,High,High,Yes,High,Yes,No,Increased
Primobolan (Methenolone Acetate),Oral,6-10 hours,88-130:44-57,25-75mg/day,"Mild water retention, cholesterol imbalance",4-5 weeks,Illegal,Cutting,Low,Yes,Mild,No,Moderate,Low,Yes,Low,No,Neutral,None,No
Deca-Durabolin (Nandrolone Decanoate),Injection,6-12 days,125-370:37-125,200-600mg/week,"Water retention, testosterone suppression",18 months,Illegal,Bulking,Moderate,Yes,Moderate,Yes,Moderate,Moderate,Yes,Moderate,Yes,Increased,Yes,
Equipoise (Boldenone Undecylenate),Injection,14 days,100-200:50-100,200-600mg/week,"Acne, hair loss, anxiety",4-5 months,Illegal,Bulking,Moderate,Yes,Moderate,No,Moderate,Moderate,Yes,Moderate,No,Increased,No,
Halotestin (Fluoxymesterone),Oral,9.5 hours,1900-2000:8-9,10-40mg/day,"Liver toxicity, aggression, insomnia",2 months,Illegal,Cutting,None,Yes,Severe,Yes,High,Low,Yes,Very High,No,Increased,Yes,Yes
Testosterone Enanthate,Injection,4-5 days,100:100,250-750mg/week,"Water retention, acne, hair loss",3 months,Prescription Only,Bulking,High,Yes,High,Yes,High,High,Yes,Moderate,No,Increased,Yes,No
Testosterone Propionate,Injection,2-3 days,100:100,100-300mg/week,"Acne, hair loss, mood swings",2-3 weeks,Prescription Only,Bulking,High,Yes,High,Yes,High,High,Yes,Moderate,No,Increased,No,Yes
Masteron (Drostanolone Propionate),Injection,2-3 days,62-130:25-40,200-400mg/week,"Hair loss, aggression",3-4 weeks,Illegal,Cutting,Low,No,Mild,No,Moderate,Low,Yes,Moderate,No,Increased,Yes,No
Clenbuterol,Oral,36-48 hours,N/A,20-120mcg/day,"Shakiness, heart palpitations, anxiety",6-7 days,Illegal,Cutting,None,No,None,Yes,Very High,Low,No,None,No,Neutral,No,No
Trenbolone Acetate,Injection,1-2 days,500:500,50-100mg/day,"Night sweats, aggression, anxiety",5 months,Illegal,Bulking,Low,Yes,Severe,Yes,Very High,High,Yes,Very High,No,Increased,Yes,Yes
Sustanon 250,Injection,21 days,100:100,250-1000mg/week,"Water retention, mood swings, acne",3 months,Prescription Only,Bulking,Moderate,Yes,Moderate,Yes,High,Moderate,Yes,Moderate,No,Increased,Yes,No
